Date, Open, High, Low, Close
11/01/22, 3901.79, 3911.79, 3843.80, 3856.10
10/31/22, 3881.85, 3893.73, 3863.18, 3871.98
10/28/22, 3808.26, 3905.42, 3808.26, 3901.06
10/27/22, 3834.69, 3859.95, 3803.79, 3807.30
10/26/22, 3825.97, 3886.15, 3824.07, 3830.60
10/25/22, 3799.44, 3862.85, 3799.44, 3859.11
10/24/22, 3762.01, 3810.74, 3741.65, 3797.34
10/21/22, 3657.10, 3757.89, 3647.42, 3752.75
10/20/22, 3689.05, 3736.00, 3656.44, 3665.78
10/19/22, 3703.11, 3728.58, 3666.51, 3695.16
10/18/22, 3746.26, 3762.79, 3686.53, 3719.98
10/17/22, 3638.65, 3689.73, 3638.65, 3677.95
10/14/22, 3690.41, 3712.00, 3579.68, 3583.07
10/13/22, 3520.37, 3685.41, 3491.58, 3669.91
10/12/22, 3590.83, 3608.34, 3573.86, 3577.03
10/11/22, 3595.86, 3640.66, 3568.45, 3588.84
10/10/22, 3647.51, 3652.17, 3588.10, 3612.39
10/07/22, 3706.74, 3706.74, 3620.73, 3639.66
10/06/22, 3771.97, 3797.93, 3739.22, 3744.52
10/05/22, 3753.25, 3806.91, 3722.66, 3783.28
10/04/22, 3726.46, 3791.92, 3726.46, 3790.93
10/03/22, 3609.78, 3698.35, 3604.93, 3678.43
